EmpID,Name,Gender,Date_of_Birth,Age,GROSS,Net_Pay,Deduction,Designation,Department
20438,Deana Lucero,F,2/11/96,23,35140,32559,2581,Technical Solutions Engineer.Associate.,AmaTec - APJ TSE
21921,Delbert Krause,M,24/06/1993,27,34416,30743,3673,Systems Engineer.Associate.,Product - Custom
23036,Rueben Zuniga,M,6/5/94,26,35586,33519,2067,Media Operations Engineer.Associate.,AmaTEC - BOCC/ESG
23032,Howard Pittman,M,11/2/97,23,35238,33289,1949,Media Operations Engineer.Associate.,AmaTEC - BOCC/ESG
23033,Stacie Ellis,F,7/8/95,24,35000,33071,1929,Media Operations Engineer.Associate.,AmaTEC - BOCC/ESG
18466,Leopoldo Jordan,M,11/1/91,29,35058,31777,3281,Account Service Manager..,EMEA - AMG
19836,Jean Hammond,M,5/2/92,28,38373,36029,2344,Product Operations Analyst..,IT Product Management & Ops
22437,Eliza Valenzuela,F,12/12/97,22,35976,33932,2044,Q/A Engineer..,IT DevOps
22531,Gabriel Winters,M,29/10/1997,22,35521,33717,1804,Q/A Engineer..,IT DevOps
19203,Martha Smith,F,5/12/93,26,35834,33089,2745,Software Development Engineer in Test..,Dynamic Media SQA
18918,Etta Maldonado,F,11/8/92,27,37911,35800,2111,Client Service Manager.Associate.,Americas- AMG
17061,Rosanna Glenn,F,27/05/1994,26,39028,36807,2221,Client Service Manager.Associate.,APJ - AMG
18656,Danielle Estrada,F,30/08/1992,27,37459,35797,1662,Account Service Manager..,Americas- AMG
17060,Freddy Stuart,M,21/02/1992,28,36616,34925,1691,Server Tech Services Engineer..,Networks - APJ Infrastructure
22361,Trina Solis,F,28/08/1989,30,37361,34050,3311,Account Service Manager..,APJ - AMG
21714,Jame Haas,M,10/5/89,31,36965,34131,2834,Help Desk Specialist.Associate.,Enterprise Infrastructure Services
22432,Verna Richmond,F,27/11/1994,25,37730,31340,6390,Finance Systems Analyst.Associate.,Corporate Systems
21468,Thaddeus Reed,M,20/02/1997,23,39733,33448,6285,Software Development Engineer in Test..,IT DevOps
22140,Edmond Bowman,M,29/11/1997,22,37459,33775,3684,Software Development Engineer in Test..,Media Ghost
21362,Debra Calhoun,F,19/07/1997,22,40166,36736,3430,Software Development Engineer in Test..,Media Experience SQA
10514,Sylvia Moss,F,7/7/88,32,40074,37560,2514,Travel and Vendor Management Specialist..,Global Procurement
22790,Sasha Hammond,F,2/4/95,25,37477,34758,2719,Account Service Manager..,EMEA - AMG
22307,Freda Chapman,F,3/9/94,25,40430,38010,2420,Security Operations Technician..,APJ Security Services - SOCC
18653,Lindsay Trevino,F,25/02/1994,26,39959,36096,3863,Client Service Manager.Associate.,Americas- AMG
22292,Clyde Strong,M,1/3/94,26,39696,37351,2345,Contract/Billing Analyst.Associate.,Finance - Customer Revenue Operations G&A
18833,Art Serrano,M,17/04/1993,27,39897,35527,4370,Account Service Manager..,APJ - AMG
18661,Benjamin James,M,17/02/1991,29,38915,34330,4585,Account Service Manager..,Americas- AMG
19771,Oswaldo Landry,M,30/12/1995,24,37572,29661,7911,Software Development Engineer in Test..,Dynamic Media SQA
19964,Claudio Rowland,M,17/04/1995,25,39642,34996,4646,Software Development Engineer in Test..,Dynamic Media SQA
22298,Asa Mcdowell,M,2/3/95,25,38327,36718,1609,Contract/Billing Analyst.Associate.,Finance - Customer Revenue Operations G&A
18616,Melody Munoz,F,14/10/1994,25,39599,37432,2167,Product Operations Analyst..,Web Strategy
19759,Gerald Gross,M,18/04/1996,24,41340,36394,4946,Software Development Engineer in Test..,Dynamic Media SQA
20452,Zachery Zavala,M,13/05/1996,24,38116,34568,3548,Media Operations Engineer.Associate.,Amatec - BOCC/EMM
22686,Morgan Owens,M,14/05/1994,26,38562,36739,1823,Account Service Manager..,Americas- AMG
23039,Byron Brady,M,1/12/93,26,40216,38182,2034,Technical Solutions Engineer..,AmaTec - APJ TSE
20320,Armand Meadows,M,18/01/1991,29,42656,38583,4073,Account Service Manager..,Americas- AMG
20455,Deann Cabrera,F,9/4/96,24,40038,36405,3633,Software Development Engineer in Test..,Developer Productivity
22730,Fanny Reed,F,15/02/1996,24,41670,39024,2646,Server Tech Services Engineer..,Networks - EMEA Infrastructure
22606,Marlin Kramer,M,12/8/94,25,41809,38956,2853,Server Tech Services Engineer..,Networks - EMEA Infrastructure
17490,Domingo Swanson,M,10/8/89,30,40782,36427,4355,Client Service Manager.Associate.,EMEA - AMG
18224,Mathew Hinton,M,10/11/89,30,40378,38563,1815,Account Service Manager..,Americas- AMG
22151,Wilburn Barton,M,25/11/1997,22,40744,30349,10395,Software Engineer..,Media Services Engineering
21367,Traci Middleton,F,24/01/1996,24,41768,32596,9172,Software Engineer..,LUNA/OPEN Engineering
22148,Malcom Reynolds,M,11/1/98,22,39871,30982,8889,Software Engineer..,Enterprise Applications
21383,Tobias Hurley,M,16/07/1998,21,39424,30693,8731,Software Engineer..,AmaTec - APS
21369,Tanner Norman,M,17/02/1997,23,42147,33745,8402,Software Engineer..,Enterprise Applications
21377,Cherry Gentry,F,16/10/1996,23,39765,32911,6854,Software Engineer..,Media Portal
18627,Shon Lambert,M,11/7/93,27,42612,39789,2823,Product Operations Analyst..,IT Product Management & Ops
19044,Mara Hanna,F,5/8/91,28,43451,40354,3097,Network Engagement Consultant..,Networks - EMEA Infrastructure
23062,Geoffrey Benton,M,29/11/1989,30,41408,39391,2017,Network Administrator II..,Enterprise Infrastructure Services
22138,Kirk Orr,M,13/10/1991,28,40992,37761,3231,Client Service Manager.Associate.,Americas- AMG
20762,Ezra Pugh,M,2/6/92,28,39832,38101,1731,Account Service Manager..,Americas- AMG
20447,Buford Mcguire,M,22/09/1996,23,40122,29134,10988,Software Development Engineer in Test..,Media Portal
17205,Long Krause,M,10/12/93,26,42190,38244,3946,Account Service Manager..,Americas- AMG
22620,Cora Davila,F,22/02/1994,26,43358,40234,3124,Process & Quality Engineer..,Platform Operations
20451,Elise Buchanan,F,6/2/97,23,40500,36076,4424,Technical Solutions Engineer.Associate.,AmaTec - APJ TSE
21644,Lawerence Downs,M,5/7/91,29,41847,41131,716,Business Operations Analyst..,Marketing - Operations
9276,Jerrell Coleman,M,26/07/1988,31,41450,31588,9862,Program Manager.Associate.,Marketing - Website Management
19364,Edward Newman,M,17/10/1994,25,42549,37146,5403,Software Development Engineer in Test..,Dynamic Media SQA
18103,Rosella Byrd,F,31/05/1993,27,44156,40922,3234,Logistics Specialist..,Networks - APJ Infrastructure
22009,Sherrie Leonard,F,3/3/96,24,44340,39296,5044,Q/A Engineer..,AmaTec - APS
21373,Erwin Carson,M,22/06/1997,23,43414,32059,11355,Software Engineer..,Media Analytics
21352,Evelyn Barrera,F,12/6/97,23,42761,34687,8074,Solutions Architect.Associate.,Service Delivery EMEA
22141,Jerald Hardin,M,16/08/1997,22,44201,36951,7250,Technical Solutions Engineer.Associate.,AmaTec - EMEA TSE
16768,Celia Lambert,F,3/11/93,26,42296,39315,2981,Client Service Manager..,APJ - AMG
20815,Jane Turner,F,1/4/95,25,44281,40511,3770,Media Operations Engineer.Associate.,Amatec - BOCC/EMM
21358,Logan Yu,M,20/08/1997,22,43151,33540,9611,Software Engineer..,Enterprise Applications
22149,Stanford Bean,M,5/2/98,22,42970,33542,9428,Software Engineer..,Corporate Systems
21361,Art Trujillo,M,16/01/1998,22,41814,32395,9419,Software Engineer..,Enterprise Applications
21473,Willis Beasley,M,23/04/1997,23,41622,32504,9118,Software Engineer..,App Architecture & Integration Services
21472,Bryant Bolton,M,9/6/97,23,41700,32641,9059,Software Engineer..,Corporate Systems
21374,Mark Walters,M,14/07/1997,23,43970,34961,9009,Software Engineer..,Enterprise Applications
21355,Jon Jordan,M,6/7/97,23,43848,34890,8958,Software Engineer..,Enterprise Applications
22146,Margo Dixon,F,14/03/1998,22,43603,34662,8941,Data Engineer..,Data Engineering Analytics & Intelligence
21371,Cristopher Hall,M,2/4/97,23,42623,33788,8835,Software Engineer..,IT DevOps
21370,Dewey Stephens,M,23/09/1998,21,41374,32574,8800,Software Engineer..,Enterprise Applications
21349,Simon Parker,M,17/07/1997,22,42173,33418,8755,Software Engineer..,Enterprise Applications
21354,Wilber Haney,M,6/6/97,23,43533,35202,8331,Software Engineer..,Enterprise Applications
21357,Mack Chase,M,1/7/96,24,44708,37715,6993,Software Engineer..,Media Ghost
21351,Errol Villa,M,21/08/1997,22,41250,36903,4347,Software Engineer..,AmaTec - APS
21347,Chase Hobbs,M,5/8/97,22,41180,37414,3766,Software Engineer..,GSS EPIC Engineering (HC COGS)
21356,Melba Novak,F,13/12/1997,22,44232,40683,3549,Software Engineer..,Enterprise Applications
21969,Jessie Dean,M,12/12/91,28,44639,38703,5936,Technical Solutions Engineer..,AmaTec - Americas TSE
20435,Raymond Shah,M,10/1/97,23,42742,38122,4620,Technical Solutions Engineer.Associate.,AmaTec - APJ TSE
22025,Rashad Walton,M,11/12/93,26,41406,34294,7112,Systems Engineer.Associate.,Product - Custom
19751,Jesus Delgado,M,29/09/1995,24,42873,38659,4214,Software Engineer..,Enterprise Applications
20434,Kelley Dorsey,F,3/2/96,24,42325,31831,10494,Software Development Engineer in Test..,Media Analytics
19575,Keven Norman,M,3/9/94,25,44595,42710,1885,Product Operations Analyst.Associate.,IT Product Management & Ops
16337,Lindsey Mcgee,F,21/02/1991,29,45406,42402,3004,System Operations Engineer..,Platform Operations
20458,Tina Suarez,F,15/03/1994,26,44668,40449,4219,Client Service Manager.Associate.,Americas- AMG
21713,Roosevelt Bennett,M,19/02/1993,27,45598,39948,5650,Financial Analyst..,Media Division Finance
21366,Sebastian Briggs,M,4/4/97,23,43315,35124,8191,Software Engineer..,Dynamic Media SQA
19957,Jim Berry,M,25/06/1988,32,45727,41591,4136,Contract/Billing Analyst..,Finance - Customer Revenue Operations G&A
20149,Josue Buchanan,M,22/01/1994,26,42518,31237,11281,Client Service Manager.Associate.,Americas- AMG
17267,Lucia Spencer,F,23/02/1994,26,45646,35503,10143,Software Development Engineer in Test..,Media Portal
22974,Gustavo Casey,M,29/05/1993,27,43992,41777,2215,Account Service Manager..,Americas- AMG
18094,Avery Chan,M,30/07/1997,22,42198,36003,6195,Systems Engineer..,Product - Custom
21851,Antione Vaughan,M,5/11/94,25,42348,36972,5376,Network Engagement Consultant..,Networks - EMEA Infrastructure
22032,Dion Holmes,M,2/4/93,27,45338,40422,4916,Network Engagement Consultant..,Networks - EMEA Infrastructure
14596,Beth Lyons,F,20/01/1991,29,42444,36208,6236,Billing Specialist..,Finance - Customer Revenue Operations G&A
